3941753
的	213994
一	72404
是	69047
在	63563
不	61699
了	60856
有	59005
人	52706
中	52005
国	50797
我	48825
大	45439
上	39507
年	37962
为	35373
日	34764
和	34386
个	33555
你	32699
网	31057
这	30804
会	30280
新	30104
来	29692
时	29282
公	28564
发	28408
以	28300
生	27753
要	27273
业	27124
行	26852
出	26498
到	26489
能	25061
对	24333
下	23178
作	23163
家	23126
就	22752
可	22633
成	22287
用	22093
们	21609
信	21375
分	21249
多	21249
后	21091
月	20948
经	20808
于	20536
方	20097
动	20036
市	20010
者	19994
也	19903
全	19557
地	19486
学	19286
天	18970
过	18839
现	18730
他	18655
机	18457
好	18418
本	18266
报	18105
进	17950
自	17942
都	17939
|	17935
高	17912
考	17686
还	17516
场	17343
前	17327
体	17173
开	17170
车	17162
子	16765
关	16739
面	16739
最	16319
务	16141
去	16139
将	16101
力	15732
得	15534
金	15473
看	15460
电	15372
合	15351
说	15327
点	15278
资	15195
主	15175
小	15141
工	15051
部	14941
实	14817
产	14750
与	14722
司	14679
美	14551
手	14526
品	14454
比	14444
游	14057
加	14056
同	14040
而	13944
内	13931
之	13826
等	13818
联	13778
明	13741
长	13699
定	13485
法	13367
事	13354
所	13284
外	13221
理	13216
心	13150
通	13094
区	13081
文	12982
球	12976
备	12972
赛	12781
其	12732
里	12593
台	12491
没	12463
重	12370
那	12343
表	12286
道	12273
化	12249
名	12236
军	12147
期	12100
安	12079
目	12054
间	11882
海	11878
准	11769
试	11729
更	11725
第	11653
提	11624
么	11623
入	11588
万	11519
员	11509
次	11448
如	11405
民	11400
数	11353
系	11349
度	11080
院	10887
展	10865
建	10850
三	10848
元	10808
位	10720
保	10648
政	10645
平	10633
计	10538
服	10500
相	10466
起	10399
限	10343
意	10213
及	10148
性	10049
广	10041
两	10021
情	10013
当	9828
号	9805
女	9802
传	9801
息	9782
线	9724
从	9714
制	9665
北	9578
利	9571
题	9556
交	9556
任	9510
但	9471
京	9438
特	9422
二	9378
证	9330
打	9320
队	9313
很	9282
西	9218
着	9217
已	9209
然	9193
量	9191
正	9172
或	9046
据	9041
此	9017
版	8996
并	8969
视	8946
老	8925
战	8923
科	8909
价	8898
给	8861
设	8737
黄	8733
今	8657
示	8566
水	8560
被	8552
站	8549
无	8522
许	8468
式	8438
总	8416
果	8384
记	8343
单	8342
权	8297
东	8284
推	8258
专	8242
商	8237
因	8203
身	8163
强	8158
约	8129
应	8116
想	8075
图	8070
问	7972
省	7948
影	7893
路	7884
代	7858
投	7837
让	7833
基	7770
管	7766
导	7726
戏	7705
托	7679
做	7679
南	7668
儿	7627
技	7613
回	7602
群	7556
活	7544
样	7516
布	7454
友	7447
华	7413
解	7396
收	7390
接	7378
告	7360
件	7343
型	7341
首	7269
知	7246
注	7218
卡	7218
些	7215
消	7175
创	7168
玩	7168
参	7162
马	7152
持	7149
际	7104
级	7079
师	7070
增	7069
物	7059
房	7049
选	7039
门	6997
格	6970
种	6965
近	6926
直	6892
乐	6857
责	6852
股	6847
别	6831
调	6829
英	6813
户	6780
城	6768
教	6742
向	6726
标	6701
运	6681
各	6676
育	6667
达	6656
程	6641
至	6622
费	6600
局	6585
尔	6568
常	6562
社	6560
色	6516
话	6472
斯	6467
受	6434
周	6430
原	6417
山	6381
立	6379
微	6368
结	6365
转	6330
世	6323
界	6304
项	6287
少	6227
造	6211
统	6208
医	6202
感	6201
只	6189
领	6183
片	6162
张	6162
需	6152
啊	6129
款	6114
源	6101
均	6065
气	6062
带	6059
指	6047
买	6043
己	6032
风	6018
真	6007
认	5981
购	5975
研	5973
雪	5944
论	5921
放	5885
节	5867
复	5846
超	5846
查	5825
取	5776
规	5761
容	5734
该	5715
十	5714
空	5713
江	5711
求	5684
她	5675
头	5656
由	5649
再	5636
观	5622
术	5610
完	5606
招	5590
快	5585
亚	5582
深	5553
职	5551
组	5543
请	5524
把	5512
热	5481
处	5461
营	5455
星	5444
流	5436
未	5433
改	5430
演	5427
办	5418
先	5413
怀	5412
类	5378
州	5378
质	5369
变	5362
口	5355
吗	5346
易	5289
使	5270
才	5259
预	5249
排	5236
客	5223
永	5221
四	5211
续	5201
供	5184
闻	5177
济	5177
共	5175
众	5165
爱	5159
男	5158
支	5157
整	5157
配	5131
精	5107
播	5088
光	5074
讯	5065
企	5058
称	4990
每	4967
非	4940
宣	4929
圈	4925
什	4887
王	4885
值	4861
速	4840
太	4832
互	4812
红	4758
包	4749
升	4739
何	4738
集	4737
亿	4736
份	4736
德	4722
校	4718
确	4705
优	4702
团	4693
宝	4688
吧	4656
几	4638
足	4633
云	4627
媒	4611
装	4599
博	4598
拉	4566
娃	4557
远	4551
又	4548
议	4523
击	4502
财	4470
案	4462
允	4459
融	4418
条	4414
翁	4409
始	4385
显	4359
见	4336
词	4334
